Module;Item;ItemType;Property;en-US;fr;nl;ko-KR;it;es;zh-CN;pt;de;en
resourcestrings;UnitLangResources_StrSelectAnyOfSource;;;"Select any of source files";"Sélectionner n'importe quel fichier source";"Selecteer een willekeurig bronbestand";;"Selezionare uno qualsiasi dei file di origine";"Seleccione cualquiera de los archivos fuente";选择任意一个源文件;"Selecione qualquer um dos arquivos de origem";"Wählen Sie eine der Quelldateien aus";
resourcestrings;UnitLangResources_StrSelectDefaultExpor;;;"Select default export folder";"Sélection du dossier d'exportation par défaut";"Selecteer standaard exportmap";;"Selezionare la cartella di esportazione predefinita";"Seleccione cualquiera de los archivos de origen";选择默认导出文件夹;"Selecionar a pasta de exportação padrão";"Standard-Exportordner auswählen";
resourcestrings;UnitLangResources_StrSelectDefaultStart;;;"Select default startup folder";"Sélectionner le dossier de démarrage par défaut";"Selecteer standaard opstartmap";;"Selezionare la cartella di avvio predefinita";"Seleccione la carpeta de exportación por defecto";选择默认启动文件夹;"Selecionar a pasta de inicialização padrão";"Standard-Startordner auswählen";
resourcestrings;UnitLangResources_StrSelectedDestination;;;"Selected destination file must be JPG or TIF!";"Le fichier de destination sélectionné doit être un JPG ou un TIF !";"Geselecteerd doelbestand moet JPG of TIF zijn!";;"Il file di destinazione selezionato deve essere JPG o TIF!";"El archivo de destino seleccionado debe ser JPG o TIF!";"选择的目标文件必须是 JPG 或 TIF！";"O arquivo de destino selecionado deve ser JPG ou TIF!";"Ausgewählte Zieldatei muss JPG oder TIF sein!";
resourcestrings;UnitLangResources_StrSelectedFileHasNo;;;"Selected file has no valid Lat Lon coordinates.";"Le fichier sélectionné n'a pas de coordonnées Lat Lon valides.";"Geselecteerd bestand heeft geen geldige Lat Lon coördinaten.";;"Il file selezionato non ha coordinate Lat Lon valide.";"El archivo seleccionado no tiene coordenadas Lat Lon válidas.";所选文件没有有效的经纬度坐标。;"O arquivo selecionado não tem coordenadas Lat Lon válidas.";"Ausgewählte Datei hat keine gültigen Lat-Lon-Koordinaten.";
resourcestrings;UnitLangResources_StrSelectExifToolFold;;;"Select ExifTool folder to use";"Sélectionner le dossier ExifTool à utiliser";"Selecteer te gebruiken ExifTool Map";;"Selezionare la cartella ExifTool da utilizzare";"Seleccione la carpeta de ExifTool que desea utilizar";"选择要使用的 ExifTool 文件夹";"Selecione a pasta do ExifTool a ser usada";"Zu verwendenden ExifTool-Ordner auswählen";
resourcestrings;UnitLangResources_StrSelectFolderCont;;;"Select folder containing JPG images";"Sélectionner le dossier contenant les images JPG";"Selecteer map met JPG bestanden";;"Selezionare la cartella contenente le immagini JPG";"Seleccione la carpeta que contiene las imágenes JPG";"选择包含 JPG 图像的文件夹";"Selecione a pasta que contém imagens JPG";"Ordner mit JPG-Bildern auswählen";
resourcestrings;UnitLangResources_StrSelectGeoLocation;;;"Select ExifTool GeoLocation DB to use";"Sélectionner la base de données de géolocalisation ExifTool à utiliser";"Selecteer te gebruiken ExifTool GeoLocation DB";;"Selezionare il DB di geo-localizzazione di ExifTool da usare";"Seleccione ExifTool GeoLocation DB a utilizar";"选择要使用的 ExifTool GeoLocation DB";"Selecione o ExifTool GeoLocation DB a ser usado";"Wählen Sie die zu verwendende ExifTool GeoLocation DB";
resourcestrings;UnitLangResources_StrSelectGPSLogFile;;;"Select GPS log file";"Sélectionner le fichier journal du GPS";"Selecteer HPS Logbestand";;"Selezionare il file di registro GPS";"Seleccionar archivo de registro GPS";"选择 GPS 日志文件";"Selecione o arquivo de registro do GPS";"GPS-Protokolldatei auswählen";
resourcestrings;UnitLangResources_StrSelectingADiff;;;"Selecting a different font for the cmd window may help.";"La sélection d'une police différente pour la fenêtre cmd peut aider.";"Het selecteren van een ander font voor het Opdrachtprompt venster kan helpen.";;"La selezione di un carattere diverso per la finestra cmd può essere utile.";"Seleccionar una fuente diferente para la ventana cmd puede ayudar.";"为 cmd 窗口选择不同的字体可能会有所帮助。";"A seleção de uma fonte diferente para a janela cmd pode ajudar.";"Die Auswahl einer anderen Schriftart für das Cmd-Fenster kann hilfreich sein.";
resourcestrings;UnitLangResources_StrSelectRight;;;"Select right diff";"Sélectionner le diff droite";"Selecteer rechtse diff";;"Selezionare la destra diffusa";"Seleccionar diff derecha";选择正确的差异;"Selecionar diff direita";"Rechter Diff auswählen";
resourcestrings;UnitLangResources_StrSelectSourceFile;;;"Select source file";"Sélectionner le fichier source";"Selecteer bronbestand";;"Selezionare il file di origine";"Seleccionar archivo fuente";选择来源文件;"Selecionar arquivo de origem";"Quelldatei auswählen";
resourcestrings;UnitLangResources_StrSettingsFor;;;"Settings for: ";"Réglages pour :";"Instellingen voor: ";;"Impostazioni per: ";"Ajustes para: ";设置：;"Configurações para:";"Einstellungen für: ";
resourcestrings;UnitLangResources_StrShowAllFiles;;;"Show All Files";"Afficher tous les fichiers";"Toon alle bestanden";;"Mostra tutti i file";"Mostrar todos los archivos";显示所有文件;"Mostrar todos os arquivos";"Alle Dateien anzeigen";
resourcestrings;UnitLangResources_StrShowOnlineHelp;;;"Show Online help?";"Afficher l'aide en ligne ?";"Toon Online hulp?";;"Mostra guida in linea?";"¿Mostrar ayuda en línea?";显示在线帮助？;"Mostrar ajuda on-line?";"Online-Hilfe anzeigen?";
resourcestrings;UnitLangResources_StrSourceAndTargetSh;;;"Source and target should be different!";"La source et la cible doivent être différentes !";"Bron en doel moeten verschillend zijn!";;"L'origine e la destinazione devono essere diverse!";"El origen y el destino deben ser diferentes.";来源和目标应该不同！;"A origem e o destino devem ser diferentes!";"Quelle und Ziel sollten unterschiedlich sein!";
resourcestrings;UnitLangResources_StrSpecifyCustomOptio;;;"Specify Custom options to add to Exiftool args";"Spécifier les options personnalisées à ajouter aux arguments d'Exiftool";"Stel maatwerk opties in om te gebruiken in Exiftool args";;"Specificare le opzioni personalizzate da aggiungere agli argomenti di Exiftool";"Especificar opciones personalizadas para añadir a los argumentos de Exiftool";"指定要添加到 Exiftool args 的自定义选项";"Especificar opções personalizadas para adicionar aos argumentos do Exiftool";"Geben Sie benutzerdefinierte Optionen an, die den Exiftool-Argumenten hinzugefügt werden sollen";
resourcestrings;UnitLangResources_StrStandardList;;;"Standard file list";"Liste de fichiers standard";"Standaard bestandslijst";;"Elenco dei file standard";"Lista de archivos estándar";标准文件列表;"Lista de arquivos padrão";"Standard Dateiliste";
resourcestrings;UnitLangResources_StrStartupTime;;;"Setting this item as startup could potentially increase startup time";"Le fait de définir cet élément comme un élément de démarrage peut potentiellement augmenter le temps de démarrage.";"Door dit in te stellen als opstartitem kan de opstarttijd mogelijk toenemen";;"L'impostazione di questa voce come avvio potrebbe potenzialmente aumentare il tempo di avvio.";"La configuración de este elemento como inicio podría aumentar el tiempo de inicio.";将此项目设置为启动，可能会增加启动时间;"A configuração desse item como inicialização pode aumentar o tempo de inicialização";"Wenn Sie dieses Element als Startoption festlegen, kann sich die Startzeit möglicherweise verlängern.";
resourcestrings;UnitLangResources_StrTagAlreadyExistsI;;;"Tag already exists in Custom view.";"L'etiquette existe déjà dans la vue Utilisateur.";"Label bestaat al in Maatwerk.";;"Il tag esiste già nella vista personalizzata.";"La etiqueta ya existe en la vista usario.";标签已存在于自定义视图中。;"A tag já existe na exibição personalizada.";"Tag existiert bereits in der benutzerdefinierten Ansicht.";
resourcestrings;UnitLangResources_StrTheWebView2Loaderd;;;"The WebView2Loader.dll could not be loaded.";"Le fichier WebView2Loader.dll n'a pas pu être chargé.";"De WebView2Loader.dll kon niet geladen worden.";;"Non è stato possibile caricare WebView2Loader.dll.";"No se ha podido cargar WebView2Loader.dll.";"无法加载 WebView2Loader.dll。";"O WebView2Loader.dll não pôde ser carregado.";"Die WebView2Loader.dll konnte nicht geladen werden.";
resourcestrings;UnitLangResources_StrThisMethodOnlyAnsi;;;"This method only works reliable for ANSI data.";"Cette méthode ne fonctionne que pour les données ANSI.";"Deze methode werkt alleen voor ANSI  data betrouwbaar.";;"Questo metodo funziona in modo affidabile solo per i dati ANSI.";"Este método sólo funciona de forma fiable para datos ANSI.";"此方法仅适用于 ANSI 数据。";"Esse método só funciona de forma confiável para dados ANSI.";"Diese Methode funktioniert nur zuverlässig für ANSI-Daten.";
resourcestrings;UnitLangResources_StrThisWillFillExif1;;;"This will fill Exif:LensInfo of selected files with relevant";"Ceci remplira Exif:LensInfo des fichiers sélectionnés avec les valeurs pertinentes des données Makernotes (où il y a un lien).";"Dit vult Exif:LensInfo van de geselecteerde bestanden met relevante";;"Questo metodo riempirà Exif:LensInfo dei file selezionati con i valori rilevanti";"Esto rellenará Exif:LensInfo de los archivos seleccionados con los valores relevantes de los datos de Makernotes.";"这将用相关信息填充所选文件的 Exif:LensInfo";"Isso preencherá o Exif:LensInfo dos arquivos selecionados com valores relevantes";"Dies füllt Exif:LensInfo der ausgewählten Dateien mit relevanten";
resourcestrings;UnitLangResources_StrThisWillFillExif2;;;"values from Makernotes data (where possible).";"des fichiers sélectionnés avec les valeurs pertinentes des données Makernotes (dans la mesure du possible).";"waardes van Makernotes data (waar mogelijk).";;"valori rilevanti dai dati di Makernotes (ove possibile).";"relevantes de los datos Makernotes (cuando sea posible).";"来自 Makernotes 数据的值（如果可能）。";"valores relevantes dos dados do Makernotes (quando possível).";"Werte aus Makernotes-Daten (wo möglich).";
resourcestrings;UnitLangResources_StrThumbNails;;;Thumbnails;Vignettes;Miniaturen;;Miniature;Miniaturas;缩略图;Miniaturas;Vorschaubilder;
resourcestrings;UnitLangResources_StrTypeSToExecute;;;"type ""%s"" to execute the generated CMD file.";"de type ""%s"" pour exécuter le fichier CMD généré.";"type ""%s"" om het gegenereerde CMD bestand uit te voeren.";;"tipo ""%s"" per eseguire il file CMD generato.";"tipo ""%s"" para ejecutar el archivo CMD generado.";"输入“%s”执行生成的 CMD 文件。";"tipo ""%s"" para executar o arquivo CMD gerado.";"geben Sie ""%s"" ein, um die generierte CMD-Datei auszuführen.";
resourcestrings;UnitLangResources_StrUnableToStartEdge;;;"Unable to start Edge browser.";"Impossible de démarrer le navigateur Edge.";"Kan de Edge browser niet starten.";;"Impossibile avviare il browser Edge.";"No se puede iniciar el navegador Edge.";"无法启动 Edge 浏览器。";"Não é possível iniciar o navegador Edge.";"Edge-Browser konnte nicht gestartet werden.";
resourcestrings;UnitLangResources_StrUpdatingPreviewIn;;;"Updating preview in: %s";"Mise à jour de l'aperçu dans : %s";"Bijwerken preview in: %s";;"Aggiornamento dell'anteprima in: %s";"Actualizando vista previa en: %s";正在更新预览：%s;"Atualizando a visualização em: %s";"Vorschau wird aktualisiert in: %s";
resourcestrings;UnitLangResources_StrUseAnotherNameForIni;;;"Use another name for ini file!";"Utilisez un autre nom pour le fichier ini !";"Gebruik een andere naam voor het inibestand!";;"Utilizzare un altro nome per il file ini!";"¡Utilice otro nombre para el archivo ini!";"为 ini 文件使用其他名称！e!";"Use outro nome para o arquivo ini!";"Verwenden Sie einen anderen Namen für die ini-Datei!";
resourcestrings;UnitLangResources_StrUseCustomSeq;;;"Use custom sequence";"Utiliser une séquence personnalisée";"Gebruik aangepast volgnummer";;"Utilizzare una sequenza personalizzata";"Utilizar secuencia personalizada";使用自定义序列;"Usar sequência personalizada";"Benutzerdefinierte Sequenz verwenden";
resourcestrings;UnitLangResources_StrUseDest;;;"-and copy here";"-et copier ici";-doel;;"-e copiare qui";"-y copiar aquí";"- 并复制到这里";"-e copie aqui";"-und hier kopieren";
resourcestrings;UnitLangResources_StrUseNone;;;"None (Show error)";"Aucune (Afficher l'erreur)";"Geen (fout weergeven)";;"Nessuna (Mostra errore)";"Ninguna (Mostrar error)";无（显示错误）;"Nenhuma (Mostrar erro)";"Keiner (Fehler anzeigen)";
resourcestrings;UnitLangResources_StrUserList;;;"User Defined";"Défini par l'utilisateur";Gebruiker;;"Definito dall'utente";"Definido por el usuario";用户自定义;"Definido pelo usuário";Benutzerdefiniert;
resourcestrings;UnitLangResources_StrUseSrc;;;"-use as source";"-utiliser comme source";-bron;;"-Utilizzare come fonte";"-utilizar como fuente";-用作来源;"-use como fonte";"-als Quelle verwenden";
resourcestrings;UnitLangResources_StrUseStandardSeq;;;"Use standard sequence";"Utiliser une séquence standard";"Gebruik standaard volgnummer";;"Utilizzare la sequenza standard";"Utilizar la secuencia estándar";使用标准序列;"Use a sequência padrão";"Standardsequenz verwenden";
resourcestrings;UnitLangResources_StrUseTheOSMMap;;;"Use the OSM Map to select";"Utiliser la carte OSM pour sélectionner";"Gebruik de OSM kaart om te selecteren";;"Utilizzare la mappa OSM per selezionare";"Utilice el Mapa OSM para seleccionar";"使用 OSM 地图来选择";"Use o mapa OSM para selecionar";"Verwenden Sie die OSM-Karte zur Auswahl";
resourcestrings;UnitLangResources_StrVerbToAddToContext;;;"Verb to add to Contextmenu";"Verbe à ajouter au menu contextuel";"Toe te voegen Item aan Contextmenu";;"Verbo da aggiungere al menu contestuale";"Verbo para añadir al menú contextual";添加到上下文菜单的动词;"Verbo para adicionar ao menu de contexto";"Verb zum Hinzufügen zum Kontextmenü";
resourcestrings;UnitLangResources_StrWaitingForActive;;;"Waiting for active tasks to complete";"Attendre que les tâches actives se terminent";"Wachten op beëindigen actieve taken";;"In attesa del completamento delle attività attive";"Esperando a que se completen las tareas activas";等待活动任务完成;"Aguardando a conclusão de tarefas ativas";"Warten auf aktive Aufgaben zu beenden";
resourcestrings;UnitLangResources_StrWarningInternation;;;"Warning. International characters may not be displayed correctly.";"Avertissement. Les caractères internationaux peuvent ne pas être affichés correctement.";"Waarschuwing. Internationele tekens worden mogelijk niet goed getoond.";;"Attenzione. I caratteri internazionali potrebbero non essere visualizzati correttamente.";"Advertencia. Es posible que los caracteres internacionales no se muestren correctamente.";"警告。 国际字符可能无法正确显示。";"Aviso. Os caracteres internacionais podem não ser exibidos corretamente.";"Warnung. Internationale Zeichen werden möglicherweise nicht korrekt angezeigt.";
resourcestrings;UnitLangResources_StrWarningOnlyDRes;;;"Warning. Only %d results returned from %d workspace commands.";"Attention. Seuls %d résultats ont été renvoyés à partir de %d commandes de l'espace de travail.";"Waarschuwing. Slechts %d resultaten van %d werkruimte commando's.";;"Attenzione. Solo %d risultati restituiti da %d comandi dello spazio di lavoro.";"Advertencia. Sólo se han devuelto %d resultados de %d comandos de espacio de trabajo.";"警告。 %d 个工作区命令仅返回 %d 个结果。";"Warning. Somente %d resultados retornados de %d comandos de espaço de trabalho.";"Warnung. Nur %d Ergebnisse wurden von %d Arbeitsbereichsbefehlen zurückgegeben.";
resourcestrings;UnitLangResources_StrWithinCountry;;;"Within Country code";"Dans le code pays";"Binnen Landkode";;"All'interno del codice del paese";"Dentro del código de país";国家/地区代码内;"Dentro do código do país";"Innerhalb von Landkode";
resourcestrings;UnitLangResources_StrWithinCountryRegion;;;"Within Country code or Region";"Dans le code pays ou de la région";"Binnen Landkode of Regio";;"All'interno del codice del paese o della regione";"Dentro del código de país o región";在国家/地区代码或地区内;"Dentro do código do país ou da região";"Innerhalb von Landkode oder der Region";
resourcestrings;UnitLangResources_StrWorkspace;;;Workspace;"espace de travail";Werkruimte;;"spazio di lavoro";"Archivo de definición del área de trabajo";工作区;"espaço de trabalho";Arbeitsbereich;
resourcestrings;UnitLangResources_StrWriteToSFailed;;;"Write to %s failed";"Le fichier de définition de l'espace de travail n'a pas pu être sauvegardé ?";"Schrijven naar %s mislukt";;"Scrittura su %s fallita";"Error de escritura en %s";"写入 %s 失败";"Falha ao gravar em %s";"Schreiben in %s fehlgeschlagen";
resourcestrings;UnitLangResources_StrYes;;;Yes;"Échec de l'écriture dans %s";Ja;;Sì;Sí;是;Sim;Ja;
resourcestrings;UnitLangResources_StrYESAst;;;*YES*;Oui;*JA*;;*SÌ;*SÍ;*是*;*SIM;*JA*;
resourcestrings;Vcl_Consts_SCloseButton;;;&Close;&Fermer;&Sluiten;;&Chiudere;&Cerrar;关闭;&Fechar;&Schließen;
resourcestrings;Vcl_Consts_SKeyCaption;;;Key;Clé;Sleutel;;"Chiave di lettura";Clave;键;Chave;Schlüssel;
resourcestrings;Vcl_Consts_SRetryButton;;;&Retry;&Répète;&Herhaal;;&Ripetere;&Repetir;&Retry;&Repetir;&Wiederholen;
resourcestrings;Vcl_Consts_SValueCaption;;;Value;Valeur;Waarde;;Valore;Valor;值;Valor;Wert;
TFCOPYMETADATA;FCopyMetadata;TFCopyMetadata;Caption;"Copy metadata options";"Options de copie des métadonnées";"Kopieer metadata opties";;"Opzioni di copia dei metadati";"Opciones de copia de metadatos";复制元数据选项;"Opções de metadados de cópia";"Optionen zum Kopieren von Metadaten";
TFCOPYMETADATA;FCopyMetadata.AdvPanel1;TPanel;Hint;"Above data might not be desired to be copied.";"Les données ci-dessus peuvent ne pas être copiées.";"Bovenstaande data is mogelijk niet wenselijk om te kopieëren.";;"I dati di cui sopra potrebbero non essere desiderati per essere copiati.";"Puede que no se desee copiar los datos anteriores.";以上数据可能不希望被复制。;"É possível que não se deseje copiar os dados acima.";"Die oben genannten Daten möchten möglicherweise nicht kopiert werden.";
TFCOPYMETADATA;FCopyMetadata.AdvPanel1.Label2;TLabel;Caption;"Confirm copying should include:";"La confirmation de la copie doit inclure :";"Bevestig dat kopieëren moet bevatten:";;"Confermare che la copia deve includere:";"Confirme que la copia debe incluir:";确认复制应包括;"Confirme se a cópia deve incluir:";"Bestätigen Sie, dass das Kopieren Folgendes enthalten sollte:";
TFCOPYMETADATA;FCopyMetadata.AdvPanel1.Label3;TLabel;Caption;"Above tags/groups will only be copied where checked!";"Les tags/groupes ci-dessus ne seront copiés que s'ils sont cochés !";"Vink bovenstaande labels/groepen aan om te kopieëren!";;"I tag/gruppi di cui sopra saranno copiati solo se selezionati!";"Las etiquetas/grupos anteriores sólo se copiarán si están marcadas.";以上标记/组仅在勾选的地方复制！;"As tags/grupos acima só serão copiados se estiverem marcados!";"Die oben genannten Tags/Gruppen werden nur dort kopiert, wo sie aktiviert sind!";
TFCOPYMETADATA;FCopyMetadata.AdvPanel1.LvTagNames.Columns[0];TListView;Caption;"Tag name";"Nom de l'étiquette";"Tag naam";;"Nome del tag";"Nombre de etiqueta";標籤名稱;"Nome da tag";Tag-Name;
TFCOPYMETADATA;FCopyMetadata.AdvPanel1.PnlButtons.SpbPredefined;TSpeedButton;Caption;Predefined;Prédéfini;Voorgedefinieerd;;Predefinito;Predefinido;预定义;Predefinido;Vordefiniert;
TFCOPYMETADATA;FCopyMetadata.PnlRight.BtnCancel;TButton;Caption;Cancel;Annuler;Annuleer;;Annulla;Cancelar;取消;Cancelar;Abbrechen;
TFCOPYMETADATA;FCopyMetadata.PnlRight.BtnExecute;TButton;Caption;Execute;Exécuter;Uitvoeren;;Eseguire;Ejecutar;执行;Executar;Ausführen;
TFCOPYMETADATA;FCopyMetadata.PnlRight.BtnPreview;TButton;Caption;Preview;Aperçu;Preview;;Anteprima;"Vista previa";預覽;Pré-visualização;Vorschau;
TFCOPYMETADATA;FCopyMetadata.PopupMenuLv.Checkgroup1;TMenuItem;Caption;"Check group";"Cochez le groupe";"Groep aanvinken";;"Selezionare il gruppo";"Selecionar grupo";检查组;"Selecionar grupo";"Gruppe ticken";
TFCOPYMETADATA;FCopyMetadata.PopupMenuLv.Groupview1;TMenuItem;Caption;"Group view";"Vue du groupe";Groepsweergave;;"Vista di gruppo";"Vista de grupo";组视图;"Visualização de grupo";Gruppenansicht;
TFCOPYMETADATA;FCopyMetadata.PopupMenuLv.Uncheckgroup1;TMenuItem;Caption;"Uncheck group";"Décocher le groupe";"Groep uitvinken";;"Deselezionare il gruppo";"Deseleccionar grupo";取消选中组;"Deselecionar grupo";"Gruppe austicken";
TFCOPYMETASINGLE;FCopyMetaSingle;TFCopyMetaSingle;Caption;"Import into selected files";"Importer dans les fichiers sélectionnés";"Importeer in geselecteerde bestanden";;"Importazione nei file selezionati";"Importar en archivos seleccionados";导入所选文件;"Importar para os arquivos selecionados";"In ausgewählte Dateien importieren";
TFCOPYMETASINGLE;FCopyMetaSingle.AdvPanel1.ChkImportAll;TCheckBox;Caption;"-import ALL metadata";"-Importer TOUTES les métadonnées";"-importeer ALLE metadata";;"-Importazione di tutti i metadati";"-importar TODOS los metadatos";-导入所有元数据;"-Importar TODOS os metadados";"-alle Metadaten importieren";
TFCOPYMETASINGLE;FCopyMetaSingle.AdvPanel1.ChkNoOverWrite;TCheckBox;Caption;"Dont overwrite existing data (-wm cg)";"Ne pas écraser les données existantes (-wm cg)";"Overschrijf geen bestaande data (-wm cg)";;"Non sovrascrivere i dati esistenti (-wm cg)";"No sobrescribir los datos existentes (-wm cg)";"不要覆盖现有数据（-wm cg）";"Não sobrescrever dados existentes (-wm cg)";"Vorhandene Daten nicht überschreiben (-wm cg)";
TFCOPYMETASINGLE;FCopyMetaSingle.AdvPanel1.LvTagNames.Columns[0];TListView;Caption;"Tag name";"Nom de l'étiquette";"Tag naam";;"Nome del tag";"Nombre de etiqueta";標籤名稱;"Nome da tag";Tag-Name;
TFCOPYMETASINGLE;FCopyMetaSingle.AdvPanel1.PnlButtons.SpbPredefined;TSpeedButton;Caption;Predefined;Prédéfini;Voorgedefinieerd;;Predefinito;Predefinido;预定义;Predefinido;Vordefiniert;
TFCOPYMETASINGLE;FCopyMetaSingle.PnlRight.BtnCancel;TButton;Caption;Cancel;Annuler;Annuleer;;Annullare;Cancelar;取消;Cancelar;Abbrechen;
TFCOPYMETASINGLE;FCopyMetaSingle.PnlRight.BtnExecute;TButton;Caption;Execute;Exécuter;Uitvoeren;;Eseguire;Ejecutar;执行;Executar;Ausführen;
TFCOPYMETASINGLE;FCopyMetaSingle.PnlRight.BtnPreview;TButton;Caption;Preview;Aperçu;Preview;;Anteprima;"Vista previa ";預覽;Pré-visualização;Vorschau;
TFCOPYMETASINGLE;FCopyMetaSingle.PopupMenuLv.Checkgroup1;TMenuItem;Caption;"Check group";"Cochez le groupe";"Check groep";;"Selezionare il gruppo";"Selecionar grupo";检查组;"Selecionar grupo";"Gruppe ticken";
TFCOPYMETASINGLE;FCopyMetaSingle.PopupMenuLv.Groupview1;TMenuItem;Caption;"Group view";"Vue du groupe";Groepsweergave;;"Vista di gruppo";"Vista de grupo";组视图;"Visualização de grupo";Gruppenansicht;
TFCOPYMETASINGLE;FCopyMetaSingle.PopupMenuLv.Uncheckgroup1;TMenuItem;Caption;"Uncheck group";"Décocher le groupe";"Groep uitvinken";;"Deselezionare il gruppo";"Deseleccionar grupo";取消选中组;"Deselecionar grupo";"Gruppe austicken";
TFDATETIMEEQUAL;FDateTimeEqual;TFDateTimeEqual;Caption;"Exif/Xmp DateTime equalize";"Exif/Xmp: DateTime égalisation";"Exif/Xmp: DateTime gelijkmaken";;"Exif/Xmp: DateTime equalizzazione";"Exif/Xmp: DateTime ecualización";"Exif/Xmp: DateTime 均衡";"Exif/Xmp: DateTime equalização";"Exif/Xmp: DateTime abgleichen";
TFDATETIMEEQUAL;FDateTimeEqual.AdvPanel1.ChkFileCreated;TCheckBox;Caption;"-change File: Date created";"-change Fichier : Date de création";"-wijzig bestand: Aanmaakdatum";;"-File: Data di creazione";"-cambiar Archivo: Fecha de creación";-更改文件：创建日期;"-alterar Arquivo: Data de criação";"-Datei ändern: Erstellungsdatum";
TFDATETIMEEQUAL;FDateTimeEqual.AdvPanel1.ChkFileCreated;TCheckBox;Hint;"File: Date created becomes (shifted) CreateDate from metadata";"Fichier : la date de création devient (décalée) CreateDate à partir des métadonnées";"Bestand: Datum gewijzigd wordt (verschoven) CreateDate uit metagegevens";;"File: la data di creazione diventa (spostata) CreateDate dai metadati";"Fichero: La fecha de creación pasa a ser (desplazada) CreateDate de los metadatos";"檔案：建立日期變為 (移位) 來自元資料的 CreateDate";"File: la data di creazione diventa (spostata) CreateDate dai metadati";"Datei: Erstellungsdatum wird zum (verschobenen) CreateDate aus den Metadaten";
TFDATETIMEEQUAL;FDateTimeEqual.AdvPanel1.ChkFileModified;TCheckBox;Caption;"-change File: Date modified";"-change Fichier : Date modifiée";"-wijzig bestand: Wijzigingsdatum";;"-File: Data modificata";"-cambiar Archivo: Fecha modificada";-更改文件：修改日期;"-alterar Arquivo: Data modificada";"-Datei ändern: Änderungsdatum";
TFDATETIMEEQUAL;FDateTimeEqual.AdvPanel1.ChkFileModified;TCheckBox;Hint;"File: Date modified becomes (shifted) ModifyDate fom metadata";"Fichier : la date de modification devient (décalée) ModifyDate à partir des métadonnées";"Bestand: Datum aangemaakt wordt (verschoven) CreateDate uit metagegevens";;"File: la data di modifica diventa (spostata) ModifyDate dai metadati";"Fichero: La fecha de modificación pasa a ser (desplazada) ModifyDate fom metadata";"檔案：修改日期從 metadata 變成 (移位) ModifyDate";"Arquivo: A data de modificação torna-se (deslocada) ModifyDate dos metadados";"Datei: Änderungsdatum wird (verschoben) ModifyDate aus den Metadaten";
TFDATETIMEEQUAL;FDateTimeEqual.AdvPanel1.LabeledEdit2;TLabeledEdit;EditLabel.Caption;CreateDate:;"CreateDate :";Creatiedatum:;;DataCreazione:;"Fecha Creación:";创建日期:;"CreateDate (data de criação):";Erstelldatum:;
TFDATETIMEEQUAL;FDateTimeEqual.AdvPanel1.LabeledEdit3;TLabeledEdit;EditLabel.Caption;ModifyDate:;"ModifyDate :";Wijzigingsdatum:;;DataModifica:;"Fecha de Modificación:";修改日期:;"Data modificada:";ÄndernDatum:;
TFDATETIMEEQUAL;FDateTimeEqual.AdvPanel1.LblGroup;TLabel;Caption;Group:;Groupe:;Groep:;;Gruppo:;Grupo:;小組：;Grupo:;Gruppe:;
TFDATETIMEEQUAL;FDateTimeEqual.AdvPanel1.RadioButton1;TRadioButton;Caption;"-use as source";"-utiliser comme source";-bron;;"-utilizza come fonte";"-utilizar como fuente";-用作来源;"-use como fonte";"-als Quelle verwenden";
TFDATETIMEEQUAL;FDateTimeEqual.AdvPanel1.RadioButton2;TRadioButton;Caption;"-and copy here";"-et copier ici";-doel;;"-e copiare qui";"-y copiar aquí";"- 并复制到这里";"-e copie aqui";"-und hier kopieren";
TFDATETIMEEQUAL;FDateTimeEqual.AdvPanel1.RadioButton3;TRadioButton;Caption;"-and copy here";"-et copier ici";-doel;;"-e copiare qui";"-y copiar aquí";"- 并复制到这里";"-e copiar aqui";"-und hier kopieren";
TFDATETIMEEQUAL;FDateTimeEqual.Button1;TButton;Caption;Cancel;Annuler;Annuleer;;Annullare;Cancelar;取消;Cancelar;Abbrechen;
TFDATETIMEEQUAL;FDateTimeEqual.Button2;TButton;Caption;Execute;Exécuter;Uitvoeren;;Eseguire;Ejecutar;执行;Executar;Ausführen;
TFDATETIMESHIFT;FDateTimeShift;TFDateTimeShift;Caption;"Exif/Xmp: DateTime shift";"Exif/Xmp: DateTime déplacement";"Exif/Xmp: DateTime verschuiven";;"Exif/Xmp: DateTime spostamento";"Exif/Xmp: DateTime desplazamiento";"Exif/Xmp: DateTime 移動";"Exif/Xmp: DateTime mudança";"Exif/Xmp: DateTime verschieben";
TFDATETIMESHIFT;FDateTimeShift.AdvPanel1.ChkFileCreated;TCheckBox;Caption;"-change File: Date created";"-change Fichier : Date de création";"-wijzig bestand: Aanmaakdatum";;"-File: Data di creazione";"-cambiar Archivo: Fecha de creación";-更改文件：创建日期;"-alterar Arquivo: Data de criação";"-Datei ändern: Erstellungsdatum";
